size,bytes,usage,minrelaytxfee
4834,1089661,5582928,0.000010000
4882,1100483,5632848,0.000010000
4929,1111084,5685312,0.000010000
4975,1121458,5739040,0.000010000
5021,1131827,5792768,0.000010000
5067,1142201,5846496,0.000010000
5113,1152580,5900224,0.000010000
5160,1163175,5955120,0.000010000
4740,1068468,5488752,0.000010000
4788,1079299,5538672,0.000010000
4836,1090121,5588592,0.000010000
4884,1100944,5638512,0.000010000
4932,1111773,5688688,0.000010000
4978,1122144,5742416,0.000010000
5025,1132744,5797312,0.000010000
5071,1143118,5851040,0.000010000
5119,1153943,5907104,0.000010000
5166,1164766,5963168,0.000010000
4714,1062634,5458384,0.000010000
4763,1073682,5509344,0.000010000
4812,1084958,5561344,0.000010000
4862,1096008,5612304,0.000010000
4908,1106382,5660528,0.000010000
4956,1117207,5716592,0.000010000
5002,1127577,5770320,0.000010000
5048,1137950,5824048,0.000010000
5094,1148325,5877776,0.000010000
5141,1158929,5932672,0.000010000
5188,1169523,5987568,0.000010000
5235,1180126,6042464,0.000010000
5283,1190955,6098528,0.000010000
5331,1201777,6154592,0.000010000
4909,1106603,5672192,0.000010000
4955,1116979,5720032,0.000010000
5002,1127577,5770192,0.000010000
5049,1138177,5825088,0.000010000
5096,1148776,5879984,0.000010000
5143,1159599,5937216,0.000010000
4700,1059475,5437296,0.000010000
4747,1070077,5486176,0.000010000
4795,1080902,5536096,0.000010000
4843,1091730,5586016,0.000010000
4890,1102324,5639248,0.000010000
4937,1112926,5694144,0.000010000
4984,1123521,5749040,0.000010000
5029,1133670,5802768,0.000010000
5078,1144715,5858832,0.000010000
5126,1155540,5914896,0.000010000
4670,1052727,5436816,0.000010000
4721,1064446,5490896,0.000010000
4771,1075491,5541856,0.000010000
4818,1086095,5590736,0.000010000
4866,1096922,5640656,0.000010000
4914,1107743,5690576,0.000010000
4962,1118572,5740496,0.000010000
5011,1129626,5791456,0.000010000
5060,1140673,5842416,0.000010000
5108,1151501,5893744,0.000010000
5156,1162321,5949808,0.000010000
5204,1173137,6007040,0.000010000
5251,1183735,6060768,0.000010000
5299,1194565,6116832,0.000010000
5345,1204940,6170560,0.000010000
5392,1215542,6225456,0.000010000
